大学英语（2）,202020212520061000256,1-17周 星期一 第1-2节 汇紫楼C309,1-17周 星期三 第3-4节 汇紫楼C309,"杨敬清"
大学英语（2）,202020212520061000257,1-17周 星期一 第1-2节 汇紫楼C208,1-17周 星期三 第3-4节 汇紫楼C208,"唐立新"
大学英语（2）,202020212520061000258,1-17周 星期一 第1-2节 汇紫楼A208,1-17周 星期三 第3-4节 汇紫楼A208,"叶进"
大学英语（2）,202020212520061000260,1-17周 星期四 第3-4节 汇紫楼A308,1-17周 星期二 第1-2节 汇紫楼A308,"陈晶"
大学英语（2）,202020212520061000261,1-17周 星期二 第1-2节 汇紫楼A309,1-17周 星期四 第3-4节 汇紫楼A309,"崔德智"
大学英语（2）,202020212520061000262,1-17周 星期二 第1-2节 汇紫楼A310,1-17周 星期四 第3-4节 汇紫楼A310,"方悦娴"
大学英语（2）,202020212520061000263,1-17周 星期四 第3-4节 汇紫楼B206,1-17周 星期二 第1-2节 汇紫楼B206,"李黎"
大学英语（2）,202020212520061000264,1-17周 星期二 第1-2节 汇紫楼B208,1-17周 星期四 第3-4节 汇紫楼B208,"李玲"
大学英语（2）,202020212520061000265,1-17周 星期二 第1-2节 汇紫楼B210,1-17周 星期四 第3-4节 汇紫楼B210,"艾龙江"
大学英语（2）,202020212520061000266,1-17周 星期二 第1-2节 汇紫楼B308,1-17周 星期四 第3-4节 汇紫楼B308,"樊建华"
大学英语（2）,202020212520061000267,1-17周 星期二 第1-2节 汇紫楼B310,1-17周 星期四 第3-4节 汇紫楼B310,"朱光玮"
大学英语（2）,202020212520061000268,1-17周 星期二 第1-2节 汇紫楼B506,1-17周 星期四 第3-4节 汇紫楼B506,"郭丽"
大学英语（2）,202020212520061000269,1-17周 星期二 第1-2节 汇紫楼B408,1-17周 星期四 第3-4节 汇紫楼B408,"邓建英"
大学英语（2）,202020212520061000270,1-17周 星期二 第1-2节 汇紫楼B410,1-17周 星期四 第3-4节 汇紫楼B410,"孙静波"
大学英语（2）,202020212520061000271,1-17周 星期二 第1-2节 汇紫楼B507,1-17周 星期四 第3-4节 汇紫楼B507,"肖洒"
大学英语（2）,202020212520061000272,1-17周 星期二 第1-2节 汇紫楼C208,1-17周 星期四 第3-4节 汇紫楼C208,"李颖超"
大学英语（2）,202020212520061000273,1-17周 星期二 第1-2节 汇紫楼A208,1-17周 星期四 第3-4节 汇紫楼A208,"叶进"
大学英语（2）,202020212520061000275,1-17周 星期四 第1-2节 汇紫楼B206,1-17周 星期二 第3-4节 汇紫楼B206,"林月"
大学英语（2）,202020212520061000276,1-17周 星期二 第3-4节 汇紫楼B208,1-17周 星期四 第1-2节 汇紫楼B208,"李聂海"
大学英语（2）,202020212520061000277,1-17周 星期二 第3-4节 汇紫楼A308,1-17周 星期四 第1-2节 汇紫楼A308,"梁鸣雁"
大学英语（2）,202020212520061000278,1-17周 星期二 3-4节 汇紫楼A211,1-17周 星期四 1-2节 汇紫楼A211,"柳宏"
大学英语（2）,202020212520061000279,1-17周 星期二 第3-4节 汇紫楼A310,1-17周 星期四 第1-2节 汇紫楼A310,"荣芳"
大学英语（2）,202020212520061000280,1-17周 星期二 3-4节 汇紫楼B306,1-17周 星期四 1-2节 汇紫楼B306,"张莉"
大学英语（2）,202020212520061000281,1-17周 星期四 第1-2节 汇紫楼B509,1-17周 星期二 第3-4节 汇紫楼B509,"罗玲"
大学英语（2）,202020212520061000282,1-17周 星期二 第3-4节 汇紫楼B210,1-17周 星期四 第1-2节 汇紫楼B210,"艾龙江"
大学英语（2）,202020212520061000283,1-17周 星期四 第1-2节 汇紫楼B308,1-17周 星期二 第3-4节 汇紫楼B308,"樊建华"
大学英语（2）,202020212520061000284,1-17周 星期二 第3-4节 汇紫楼B310,1-17周 星期四 第1-2节 汇紫楼B310,"朱光玮"
大学英语（2）,202020212520061000285,1-17周 星期二 第3-4节 汇紫楼B506,1-17周 星期四 第1-2节 汇紫楼B506,"郭丽"
大学英语（2）,202020212520061000286,1-17周 星期二 第3-4节 汇紫楼B408,1-17周 星期四 第1-2节 汇紫楼B408,"邓建英"
大学英语（2）,202020212520061000287,1-17周 星期四 第1-2节 汇紫楼B410,1-17周 星期二 第3-4节 汇紫楼B410,"孙静波"
大学英语（2）,202020212520061000288,1-17周 星期二 第3-4节 汇紫楼B507,1-17周 星期四 第1-2节 汇紫楼B507,"肖洒"
大学英语（2）,202020212520061000289,1-17周 星期二 第3-4节 汇紫楼B510,1-17周 星期四 第1-2节 汇紫楼B510,"彭川"
大学英语（2）,202020212520061000290,1-17周 星期二 第3-4节 汇紫楼C208,1-17周 星期四 第1-2节 汇紫楼C208,"刘智"
大学英语（2）,202020212520061000291,1-17周 星期二 第3-4节 汇紫楼A208,1-17周 星期四 第1-2节 汇紫楼A208,"叶进"
大学英语（2）,2020202125200610002111,1-17周 星期二 11-12节 汇紫楼B308,1-17周 星期四 11-12节 汇紫楼B308,"叶拉美"
知识产权法案例讨论,202020212030177000101,1-17周 星期四 第7-8节 汇文楼H1-305,"王秋华"
数字集成电路与系统设计,202020212150443000101,1-17周 星期一 第1-2节 致理楼L1-506,2-16周(双) 星期一 第3-4节 南区计算机大楼241,1-18周(单) 星期一 第3-4节 致理楼L1-506,"李琰"
社会科学方法论,202020212040280000101,1-17周 星期三 第1-2节 汇文楼H1-103,"柯年满"
社会科学方法论,202020212040280000102,1-17周 星期三 第7-8节 汇文楼H3-402,"文珊珊"
社会科学方法论,202020212040280000103,1-17周 星期一 第7-8节 汇文楼H3-501,"符阳"
