现代高尔夫经营管理学,202020212060193000101,1-17周 星期四 第6-8节 汇文楼H1-202,"马宗仁"
现代通信原理,202020212160123000101,1-17周 星期三 第3-5节 致理楼L1-211,"靳若凡"
现代通信原理,202020212160123000102,1-17周 星期二 第3-5节 致理楼L1-211,"靳若凡"
数理统计,202020212190199002501,1-17周 星期二 第1-2节 汇紫楼B313,1-17周 星期四 第3-4节 汇紫楼B313,"魏正红"
数理统计,202020212190199002502,1-17周 星期二 第3-4节 汇文楼H3-102,1-17周 星期四 第1-2节 汇文楼H3-102,"张君"
信号与系统,202020212130217000101,2-16周(双) 星期五 第7-8节 南区信工学院N413,1-17周 星期三 第6-8节 致理楼L3-413,"郑能恒,王可"
信号与系统,202020212130217000102,1-17周 星期二 第3-5节 致理楼L3-317,2-16周(双) 星期四 第1-2节 南区信工学院N413,"王娜"
信号与系统,202020212130217000103,1-17周 星期三 第3-5节 致理楼L3-317,2-16周(双) 星期五 第3-4节 南区信工学院N413,"黄建军"
信号与系统,202020212130217000104,1-17周 星期三 第3-5节 致理楼L3-316,2-16周(双) 星期五 第1-2节 南区信工学院N413,"黄继武"
信号与系统,202020212130217000105,1-17周 星期二 第3-4节 致理楼L1-206,2-16周(双) 星期四 第3-4节 南区信工学院N413,1-18周(单) 星期四 第3-4节 致理楼L3-409,"蔡茂国"
信号与系统,202020212130217000106,2-16周(双) 星期三 第1-2节 南区信工学院N413,1-17周 星期五 第3-5节 致理楼L3-311,"张坤华"
信号与系统,202020212130217000107,1-17周 星期二 第6-8节 致理楼L3-413,2-16周(双) 星期三 第3-4节 南区信工学院N413,"张志朋"
信号与系统,202020212130217000108,1-17周 星期二 第3-5节 致理楼L3-413,2-16周(双) 星期四 第7-8节 南区信工学院N413,"张力"
现代高尔夫草坪科学,202020212060185000101,4周,8周,12周,16周 星期五 第7-10节 未排地点,1-17周 星期五 第3-4节 汇文楼H3-104,"马宗仁"
数字建构,202020212100162000201,1-17周 星期一 9-10节 建筑楼电脑房,"万欣宇,吕帅,杨镇源,郭馨"
人工智能课程实训,202020212150460000101,1-17周 星期四 第1-4节 南区计算机大楼328,"王旭"
城乡规划原理（2）,202020212100203000101,1-9周 星期一 7-8节 建筑楼C205,"陈方"
结构力学A（1）,202020212090168000301,1-17周 星期四 第9-10节 致理楼L2-104,1-17周 星期五 第3-4节 致理楼L2-104,"李大望"
结构力学A（1）,202020212090168000302,1-17周 星期四 第9-10节 致理楼L2-103,1-17周 星期五 第3-4节 致理楼L2-103,"王险峰"
城市时空数据分析方法与案例,202020212100356000101,1-17周 星期三 第1-2节 汇紫楼C414,"乐阳"
香港基本法公法原理,2020202120311000301,1-17周 星期三 第13-14节 汇文楼H1-103,"底高扬"
香港基本法公法原理,2020202120311000302,1-17周 星期四 第13-14节 汇文楼H1-103,"底高扬"
交通环境,202020212090272000101,1-17周 星期二 第11-12节 致理楼L3-312,"刘明辉"
数字图像处理,202020212130174000101,1-17周 星期三 第3-4节 致理楼L3-309,1-18周(单) 星期四 第3-4节 南区信工学院N412,"李斌"
数字图像处理,202020212130174000102,2-16周(双) 星期二 第1-2节 南区信工学院N412,1-17周 星期四 第3-4节 致理楼L3-414,"田时舜"
数字图像处理,202020212130174000103,2-16周(双) 星期一 第1-2节 南区信工学院N412,1-17周 星期四 第3-4节 致理楼L3-413,"石武祯"
数字图像处理,202020212130174000104,1-17周 星期三 第3-4节 致理楼L1-311,1-18周(单) 星期五 第1-2节 南区信工学院N412,"张坤华"
中国政治思想史,202020212040390000101,1-17周 星期三 第1-2节 汇文楼H1-204,"郑维东"
服务系统,202020212040590000101,1-18周 星期三 第7-8节 汇文楼H3-303,"杨辰"
服务系统,202020212040590000102,1-18周 星期四 第7-8节 汇文楼H3-301,"杨辰"
服务系统,202020212040590000103,1-18周 星期四 第9-10节 汇文楼H2-302,"杨辰"
信息论基础,202020212190257000101,1-17周 星期二 第3-4节 汇紫楼C307,2-16周(双) 星期四 第1-2节 汇文楼H6-104,"鲁坚,祖克珂"
现代汉语词汇学,202020212010146000101,1-17周 星期一 第9-10节 汇文楼H2-202,"吴芳"
人口社会学,202020212240111000101,1-17周 星期三 第6-8节 致理楼L3-313,"舒玢玢"
人口社会学,202020212240111000102,1-17周 星期三 第3-5节 致理楼L3-311,"黄国英"
网络营销,202020212080614000101,1-17周 星期四 第3-4节 传播学院L7-302,"汪翩翩"
网络营销,202020212080614000102,1-17周 星期四 第7-8节 传播学院L7-302,"汪翩翩"
物流与供应链管理 (国际班),202020212041199000101,1-17周 星期四 第3-4节 汇文楼H1-104,1-17周 星期五 第7-8节 汇文楼H1-104,"余明珠"
鲁迅研究,202020212010192000101,1-17周 星期一 第1-2节 汇文楼H1-203,"曹清华"
鲁迅研究,202020212010192000102,1-17周 星期一 第9-10节 汇文楼H1-201,"曹清华"
城市管理学,202020212040504000101,1-17周 星期四 第7-8节 汇文楼H3-402,"刘筱"
城市管理学,202020212040504000102,1-17周 星期四 第9-10节 汇文楼H1-304,"刘筱"
管理会计（国际班）,202020212041196000101,1-17周 星期三 第6-8节 汇文楼H1-103,"初大智"
学术研究与论文写作,202020212240068000201,1-17周 星期二 第3-4节 致理楼L3-308,"许英"
建设法规,202020212090121000101,1-17周 星期一 第7-8节 致理楼L3-316,"赖亚妮"
建设法规,202020212090121000102,1-17周 星期一 第3-4节 致理楼L3-414,"赖亚妮"
公共行政学说史,202020212040779000101,1-17周 星期三 第7-8节 汇文楼H3-504,"李淑飞"
公共行政学说史,202020212040779000102,1-17周 星期三 第9-10节 汇文楼H2-501,"李淑飞"
香港法概论,202020212030222000101,4周,9周,13周 星期日 第11-12节 汇文楼H1-104,"王千华,姚秀兰,邹平学,孙成,黎沛文"
香港法概论,202020212030222000102,4周,9周,13周 星期日 第13-14节 汇文楼H1-104,"王千华,姚秀兰,邹平学,孙成,黎沛文"
服务创新,202020212040789000101,1-17周 星期四 第1-2节 汇文楼H1-401,"金元吉"
服务创新,202020212040789000102,1-17周 星期四 第9-10节 汇文楼H1-303,"金元吉"
数理逻辑,202020212010700000101,1-17周 星期三 第9-10节 汇文楼H2-203,"None"
风景园林政策法规与管理,202020212100247000101,1-9周 星期五 第11-12节 汇紫楼B210,"李冲,陈义勇"
Matlab语言,202020212160008000101,1-17周 星期四 第9-10节 南区电子学院大楼104,"仇高新"
Matlab语言,202020212160008000102,1-17周 星期四 第7-8节 南区电子学院大楼104,"仇高新"
Matlab语言,202020212160008000103,1-17周 星期五 第3-4节 南区信工学院N411,"潘志铭"
Matlab语言,202020212160008000104,1-17周 星期三 第7-8节 南区信工学院N411,"潘志铭"
管理学原理,202020212090099000101,1-17周 星期一 第9-10节 致理楼L3-418,"袁丽丽"
管理学原理,202020212090099000102,1-17周 星期二 第9-10节 致理楼L3-314,"袁丽丽"
人力资源管理信息化,202020212040199000701,1-17周 星期三 第11-12节 汇文楼H1-304,"丁夏齐"
西班牙语（1）（二外）,202020212070044000201,1-17周 星期二 第7-8节 汇文楼H2-504,1-17周 星期四 第7-8节 汇文楼H2-504,"马丽亚"
西班牙语（1）（二外）,202020212070044000202,1-17周 星期二 第7-8节 汇文楼H2-304,1-17周 星期四 第7-8节 汇文楼H2-304,"张琳"
商业秘密法,202020212030284000101,1-17周 星期五 第9-10节 汇文楼H1-201,"段鲁艺"
培训与开发,202020212040826000101,1-17周 星期一 第7-8节 汇文楼H3-502,"苏方国"
培训与开发,202020212040826000102,1-17周 星期一 第9-10节 汇文楼H2-502,"苏方国"
海商法,202020212030063000101,1-17周 星期二 第1-2节 汇文楼H1-203,"白云"
社会福利思想,202020212030113000101,1-17周 星期一 第9-10节 致理楼L3-304,"马云驰"
数学建模,202020212190342000101,1-17周 星期三 第6-8节 汇紫楼A210,"胡耀华"
数学建模,202020212190342000102,1-17周 星期四 第6-8节 汇紫楼C208,"胡耀华"
数学建模,202020212190342000103,1-17周 星期四 第11-13节 汇紫楼B210,"胡耀华"
现代汉语（2）,202020212120676000101,1-17周 星期一 第3-5节 师院A309,"李华"
光纤通信,202020212130314000101,2-16周(双) 星期四 第1-2节 南区信工学院N501,1-17周 星期四 第7-8节 致理楼L3-311,"徐铭"
光纤通信,202020212130314000102,2-16周(双) 星期四 第3-4节 南区信工学院N501,1-17周 星期二 第3-4节 致理楼L3-316,"宋宇锋"
FPGA系统设计与实践,202020212280100001701,1-17周 星期一 第4-5节 南区电子学院大楼106,1-17周 星期一 第3-3节 南区电子学院大楼106,"黄海明"
FPGA系统设计与实践,202020212280100001702,1-17周 星期二 第3-3节 南区电子学院大楼106,1-17周 星期二 第4-5节 南区电子学院大楼106,"黄海明"
空间建构原理,202020212100220000101,6-14周 星期四 第1-2节 汇紫楼C209,"张轶伟"
房地产前沿讲座,202020212090197001001,1-17周 星期四 1-2节 ,"袁丽丽"
高尔夫运动竞赛组织与管理,202020212060014000101,1-17周 星期五 第1-2节 汇文楼H1-201,"阳承胜"
混凝土结构设计原理,202020212090110000201,1-17周 星期四 第1-2节 致理楼L3-411,1-17周 星期五 第1-2节 致理楼L3-411,"张小刚"
混凝土结构设计原理,202020212090110000202,1-17周 星期三 第1-4节 致理楼L3-416,"龙武剑"
混凝土结构设计原理,202020212090110000203,1-17周 星期三 第3-4节 致理楼L3-413,1-17周 星期四 第1-2节 致理楼L3-413,"龙旭"
政府伦理,202020212040374000101,1-17周 星期一 第1-2节 汇文楼H1-302,"郑维东"
政府伦理,202020212040374000102,1-17周 星期四 第1-2节 汇文楼H1-403,"郑维东"
建设法规,202020212090487000101,1-14周 星期五 第9-10节 致理楼L2-411,"蒋卫平"
建设法规,202020212090487000102,1-14周 星期五 第7-8节 致理楼L2-411,"蒋卫平"
多传感器集成与物联网,202020212100324000101,1-17周 星期二 第7-8节 汇紫楼A207,"周宝定"
分析哲学,202020212010546000101,1-17周 星期二 第9-10节 汇文楼H1-201,"葛欢欢"
公共部门人力资源管理,202020212040857000101,1-17周 星期一 第7-8节 汇文楼H1-403,"曾锡环"
公共部门人力资源管理,202020212040857000102,1-17周 星期一 第9-10节 汇文楼H1-403,"曾锡环"
当代儿童绘本研究,202020212011150000101,1-17周 星期四 第9-10节 汇文楼H2-304,"沈一帆"
轨道交通,202020212090260000101,1-17周 星期一 第3-4节 致理楼L2-104,"莫一魁"
统计计算与模拟,202020212190325000201,1-17周 星期二 第1-2节 汇紫楼C507,"林炳清"
数字系统设计I,202020212280100000801,1-17周 星期一 第1-2节 致理楼L3-315,1-18周(单) 星期四 第7-8节 南区信工学院N411,"邓小莺"
数字系统设计I,202020212280100000802,1-17周 星期二 第9-10节 致理楼L3-315,2-16周(双) 星期四 第7-8节 南区信工学院N411,"邓小莺"
测量学原理,202020212100254000101,1-17周 星期一 第6-8节 汇紫楼C307,"王伟玺"
思辨与写作,202020212100357000101,1-18周(单) 星期三 第7-8节 汇紫楼A309,"乐阳"
机器人学导论,202020212130343000101,1-17周 星期一 第7-9节 南区信工学院N413,"黄海明"
促销管理,202020212040028000101,1-17周 星期三 第9-10节 汇文楼H1-401,"傅浙铭"
促销管理,202020212040028000102,1-17周 星期一 第9-10节 汇文楼H1-505,"傅浙铭"
促销管理,202020212040028000103,1-17周 星期二 第9-10节 汇文楼H1-401,"傅浙铭"
促销管理,202020212040028000104,1-17周 星期五 第9-10节 汇文楼H1-203,"傅浙铭"
住房市场与住房政策,202020212090295000101,1-17周 星期三 第11-13节 致理楼L3-308,"宋博通"
桥梁工程,202020212090192000101,1-17周 星期三 第11-12节 致理楼L3-409,1-17周 星期四 第11-12节 致理楼L3-409,"周海俊"
桥梁工程,202020212090192000102,1-17周 星期三 13-14节 致理楼L3-311,1-17周 星期四 11-12节 致理楼L3-311,"谭也平"
国际贸易法学,202020212030053000101,1-17周 星期一 第7-8节 汇文楼H1-203,"陈梦"
财务管理原理,202020212040503000101,1-17周 星期三 第9-10节 汇文楼H1-502,"陈苍"
财务管理原理,202020212040503000102,1-17周 星期一 第9-10节 汇文楼H2-501,"陈苍"
财务管理原理,202020212040503000103,1-17周 星期二 第9-10节 汇文楼H1-103,"陈苍"
人力资源管理导论,202020212040848000101,1-17周 星期二 第7-8节 汇文楼H3-301,"马欣川"
人力资源管理导论,202020212040848000102,1-17周 星期一 第7-8节 汇文楼H3-402,"王忠"
数学史,202020212190261000101,1-17周 星期四 第13-14节 汇文楼H3-201,"傅赢芳"
项目管理,202020212040332000101,1-18周 星期一 第3-4节 汇文楼H6-401,1-18周 星期一 第5-5节 汇文楼H6-401,"甘小冰,陈思佳"
社会保障学,202020212040275000101,1-17周 星期一 第7-8节 汇文楼H3-303,"周林刚"
社会保障学,202020212040275000102,1-17周 星期一 第9-10节 汇文楼H1-503,"周林刚"
城市道路与交通（2）,202020212100145000101,1-17周 星期二 第3-4节 汇紫楼C305,"王京元"
市场营销导论,202020212040839000101,1-17周 星期一 第9-10节 汇文楼H-01,"贺和平"
可持续建设,202020212090330000101,1-17周 星期四 第9-10节 致理楼L2-410,"刘建,牛永宁"
可持续建设,202020212090330000102,1-17周 星期二 第7-8节 致理楼L2-407,"段华波"
可持续建设,202020212090330000103,1-17周 星期二 第3-4节 致理楼L2-407,"李昇翰"
集成电路CAD,202020212160072000101,1-17周 星期四 第3-5节 南区电子学院大楼102,"赵晓锦"
集成电路CAD,202020212160072000102,1-17周 星期三 第3-5节 南区电子学院大楼104,"许威"
大数据营销,202020212040802000101,1-17周 星期四 第7-8节 汇文楼H3-304,"周影辉"
大数据营销,202020212040802000102,1-17周 星期四 第9-10节 汇文楼H1-405,"周影辉"
现代光学基础,202020212160063000201,1-17周 星期二 第3-5节 致理楼L3-309,"吕雅利"
现代光学基础,202020212160063000202,1-17周 星期四 第6-8节 致理楼L3-309,"宋宇锋"
企业战略管理,202020212040232000101,1-18周(单) 星期一 第9-10节 汇文楼H2-201,1-17周 星期二 第7-8节 汇文楼H2-201,"于文生"
企业战略管理,202020212040232000102,1-17周 星期一 第7-8节 汇文楼H2-205,1-18周(单) 星期二 第9-10节 汇文楼H2-205,"于文生"
企业战略管理,202020212040232000103,1-17周 星期二 第6-8节 汇文楼H1-301,"崔世娟"
企业战略管理,202020212040232000104,1-17周 星期二 第6-8节 汇文楼H1-102,"林梅"
企业战略管理,202020212040232000105,1-18周(单) 星期二 第1-2节 汇文楼H2-303,1-17周 星期一 第7-8节 汇文楼H2-303,"陈莉"
现代艺术,202020212100116000101,1-9周 星期三 7-10节 汇文楼H-02,"蔡泓秋"
大数据挖掘软件系列课之：Python编程,202020212190374000101,1-17周 星期五 第3-4节 汇文楼H6-104,"王劲毅"
经济法,202020212040851000101,1-17周 星期四 第3-4节 汇文楼H3-501,"王玉婷"
经济法,202020212040851000102,1-17周 星期四 第7-8节 汇文楼H1-503,"王玉婷"
专业英语（建筑）,202020212100124000201,1-9周 星期五 7-10节 汇紫楼B207,"肖靖"
消费者行为学,202020212040334000201,1-17周 星期一 第7-8节 汇文楼H3-403,"刘世雄"
消费者行为学,202020212040334000202,1-17周 星期一 第3-4节 汇文楼H3-501,"刘世雄"
钢结构设计,202020212090253000101,1-17周 星期一 第9-10节 致理楼L1-203,"陈贤川"
钢结构设计,202020212090253000102,1-17周 星期三 第11-12节 致理楼L3-508,"张超东"
美术基础,202020212080378000101,1-17周 星期一 第2-2节 传播学院L7-706,1-17周 星期一 第3-4节 传播学院L7-706,"黎明"
美术基础,202020212080378000102,1-17周 星期一 第7-8节 传播学院L7-706,1-17周 星期一 第6-6节 传播学院L7-706,"黎明"
人力资源开发与管理,202020212040251000101,1-17周 星期三 第3-4节 汇文楼H1-504,"杨益"
人力资源开发与管理,202020212040251000102,1-17周 星期二 第1-2节 汇文楼H1-204,"杨益"
人力资源开发与管理,202020212040251000103,1-17周 星期一 第1-2节 汇文楼H1-103,"杨益"
人力资源开发与管理,202020212040251000104,1-17周 星期一 第7-8节 汇文楼H3-301,"马欣川"
人力资源开发与管理,202020212040251000105,1-17周 星期一 第9-10节 汇文楼H3-103,"马欣川"
数学教学技术,202020212190274000301,1-17周 星期一 第6-7节 汇文楼H6-104,1-17周 星期一 第8-8节 汇文楼H6-104,"傅赢芳"
企业经营管理,202020212040847000101,1-17周 星期三 第9-10节 汇文楼H1-404,"张转玲"
企业经营管理,202020212040847000102,1-17周 星期三 第7-8节 汇文楼H3-304,"张转玲"
德语（1）（二外）,202020212070022000201,1-17周 星期三 第7-8节 汇文楼H2-404,1-17周 星期五 第9-10节 汇文楼H2-404,"李维笑"
中国古代的学术与思想,202020212010678000101,1-17周 星期二 第9-10节 汇文楼H3-506,"肖荣"
工程造价管理,202020212090092000101,1-17周 星期四 第7-8节 致理楼L1-301,"丁志坤,吴环宇"
人才服务与管理,202020212040199000601,1-17周 星期四 第3-5节 汇文楼H1-102,"马欣川"
天线技术,202020212280100000101,6周,12-14周(双) 星期五 第11-12节 致理楼L3-315,"何业军"
战略管理,2020202122919001001,1-17周 星期二 第3-4节 汇文楼H3-104,"陈莉"
数据库内核原理与实现,202020212150199001201,1-17周 星期一 7-8节 致理楼L6-705,1-18周(单) 星期一 9-10节 致理楼L6-705,"JIANBIN QIN"
法语（2）（二外）,202020212070029000101,1-17周 星期二 第7-8节 汇文楼H2-503,1-17周 星期四 第7-8节 汇文楼H2-503,"周家兴"
误差理论与数据处理,202020212100255000101,1-17周 星期四 第3-5节 汇紫楼D414,"汪驰升"
服务营销,202020212040199000801,1-17周 星期四 第11-12节 汇文楼H1-303,"张蕾"
历史学论文写作,202020212010757000101,1-17周 星期二 第11-12节 汇文楼H2-203,"肖荣"
软件测试,202020212150027000401,1-17周 星期五 第1-2节 致理楼L1-402,1-17周 星期五 第3-4节 南区计算机大楼326,"许智武"
学校社会工作,202020212030194000101,1-17周 星期一 第7-8节 致理楼L3-404,"李晓凤"
计算机组成与体系结构,202020212160223000101,1-17周 星期一 第3-5节 致理楼L1-209,"吕雅利"
计算机组成与体系结构,202020212160223000102,1-17周 星期二 第3-5节 致理楼L1-209,"韩素婷"
证券法,202020212030272000101,1-17周 星期四 第3-4节 汇文楼H2-202,"赵明昕"
证券法,202020212030272000102,1-17周 星期四 第9-10节 汇文楼H2-205,"吕成龙"
偏微分方程,202020212190292000201,1-18周(单) 星期四 第3-4节 汇紫楼B508,1-17周 星期二 第3-4节 汇紫楼B508,"段琴"
管理心理学,202020212060051000101,1-17周 星期三 第1-2节 汇文楼H3-304,"李存焕"
微波技术,202020212160183000101,1-17周 星期二 1-2节 致理楼L1-406,1-18周(单) 星期四 3-4节 致理楼L1-406,"张登国"
微波技术,202020212160183000102,1-17周 星期四 第6-8节 致理楼L3-318,"舒国响"
休闲体育概论,202020212120198001601,1-17周 星期二 第1-2节 汇文楼H1-401,"李阳"
职业健康心理学,202020212040816000101,1-17周 星期三 第7-8节 汇文楼H-01,"王荣"
外国司法制度研究,202020212030278000101,1-17周 星期四 第9-10节 汇文楼H2-301,"赵桃桃"
外国司法制度研究,202020212030278000102,1-17周 星期四 第3-4节 汇文楼H1-304,"赵桃桃"
材料分析与测试方法,202020212090251000101,1-17周 星期二 第9-10节 致理楼L3-101,"方媛"
材料分析与测试方法,202020212090251000102,1-17周 星期一 第3-4节 致理楼L3-403,"方媛"
社会行政,202020212240113000101,1-17周 星期一 第9-10节 致理楼L3-308,"易松国"
创作,202020212051024000101,1-16周 星期三 第7-10节 艺术学院L7-827,1-16周 星期一 第7-10节 艺术学院L7-827,"FEDOROV ALEKSANDR"
地理信息系统,202020212100206000101,1-17周 星期三 第9-10节 建筑楼电脑房,"辜智慧"
环境法案例研析,2020202120311000401,1-17周 星期二 第11-12节 汇文楼H2-201,"周卫"
环境法案例研析,2020202120311000402,1-17周 星期五 第7-8节 汇文楼H2-302,"周卫"
交通工程概论,202020212090371000101,1-17周 星期二 11-12节 致理楼L3-317,1-18周(单) 星期三 9-10节 致理楼L3-317,"麦德荣"
交通工程概论,202020212090371000102,1-17周 星期四 第9-10节 致理楼L3-418,2-16周(双) 星期三 第9-10节 致理楼L3-418,"麦德荣"
城市设计赏析,202020212100199000201,1-12周 星期四 11-13节 汇文楼H1-101,"甘欣悦"
广告效果评估,202020212080595000101,1-17周 星期一 第3-4节 传播学院L7-204,"李莹"
广告效果评估,202020212080595000102,1-17周 星期一 第9-10节 传播学院L7-204,"李莹"
电子通信专业英语,202020212130042000101,1-17周 星期五 第1-2节 致理楼L3-318,"陈佳义"
电子通信专业英语,202020212130042000102,1-17周 星期五 7-8节 致理楼L1-302,"陈佳义"
电子通信专业英语,202020212130042000103,1-17周 星期一 第3-4节 致理楼L3-317,"王娟"
电子通信专业英语,202020212130042000104,1-17周 星期一 第1-2节 致理楼L3-418,"王娟"
地图学原理,202020212100464000101,1-17周 星期五 第7-8节 汇紫楼C208,"赵志刚"
理论力学,202020212090180000103,1-17周 星期三 第3-5节 致理楼L1-601,"梅柳"
理论力学,202020212090180000104,1-17周 星期三 第3-5节 致理楼L2-410,"黄文"
理论力学,202020212090180000105,1-17周 星期三 第3-5节 致理楼L1-503,"杨向龙"
市场营销策划,202020212040296000101,1-17周 星期二 第9-10节 汇文楼H2-501,"韩巍"
市场营销策划,202020212040296000102,1-17周 星期一 第1-2节 汇文楼H2-201,"韩巍"
竞争法学,202020212030188000101,1-17周 星期三 第7-8节 汇文楼H1-303,"程子薇"
品牌管理,202020212080392000101,1-17周 星期四 第9-10节 传播学院L7-308,"李新立"
品牌管理,202020212080392000102,1-17周 星期四 第11-12节 传播学院L7-308,"李新立"
计量经济学,202020212090126000101,1-17周 星期四 第3-4节 致理楼L2-408,"范成"
中国古代文论,202020212010120000101,1-17周 星期三 第9-10节 汇文楼H1-203,"黄金鹏"
光通信技术与器件,202020212160058000101,1-17周 星期一 第7-9节 致理楼L1-309,"彭长艳"
传感器网络信息处理,202020212130503000101,1-17周 星期五 第3-3节 南区信工学院N402,1-17周 星期五 第4-5节 南区信工学院N402,"龚元浩"
招聘与选拔,202020212040825000101,1-17周 星期二 第9-10节 汇文楼H1-104,"马欣川"
招聘与选拔,202020212040825000102,1-17周 星期二 第9-10节 汇文楼H1-402,"王荣"
高频电子线路,202020212160193000101,1-17周 星期二 第7-9节 致理楼L3-309,"王梦遥"
高频电子线路,202020212160193000102,1-17周 星期五 第3-5节 致理楼L3-309,"王梦遥"
公务员录用考试实务,202020212040621000101,1-17周 星期二 第1-2节 汇文楼H1-304,"吴海燕"
人工智能,2020202122819000101,1-17周 星期二 第1-2节 致理楼L3-318,1-17周 星期二 第3-4节 南区信工学院N412,"曹文明"
人工智能,2020202122819000102,1-17周 星期三 第1-2节 致理楼L3-318,1-17周 星期三 第3-4节 南区信工学院N412,"曹文明"
微机原理与接口技术,202020212280100000901,1-17周 星期一 第7-8节 致理楼L3-413,2-16周(双) 星期三 第7-8节 南区信工学院N607,"靳若凡"
微机原理与接口技术,202020212280100000902,1-17周 星期一 第1-2节 致理楼L3-416,2-16周(双) 星期三 第1-2节 南区信工学院N607,"靳若凡"
城市环境遥感,202020212100329000101,1-12周 星期三 第6-8节 汇紫楼C414,"邬国锋"
人力资源管理法律法规解读,202020212040828000101,1-17周 星期二 第3-4节 汇文楼H3-403,"王玉婷"
人力资源管理法律法规解读,202020212040828000102,1-17周 星期二 第7-8节 汇文楼H3-402,"王玉婷"
资本投资学,202020212040398000101,1-17周 星期四 第1-2节 汇文楼H1-304,"林瑞基"
资本投资学,202020212040398000102,1-17周 星期四 第3-4节 汇文楼H3-402,"林瑞基"
数学教育心理学,202020212190180000101,1-17周 星期一 第1-2节 汇文楼H3-102,2-16周(双) 星期四 第3-4节 汇文楼H3-102,"傅赢芳"
金融工程,202020212190366000101,1-17周 星期一 第7-8节 汇紫楼C311,1-17周 星期五 第7-8节 汇紫楼C311,"蒋春福"
建筑构造概论,202020212100221000101,1-17周 星期五 7-8节 汇紫楼C209,"赵阳"
高频电路,202020212130337000101,1-17周 星期一 第3-5节 致理楼L3-411,2-16周(双) 星期三 第1-2节 南区信工学院N509,"刘静"
高频电路,202020212130337000102,1-17周 星期一 第3-5节 致理楼L3-309,2-16周(双) 星期三 第7-8节 南区信工学院N509,"张晓"
商业模式,202020212040676000101,1-17周 星期四 第3-4节 汇文楼H3-301,"马晶"
商业模式,202020212040676000102,1-17周 星期四 第1-2节 汇文楼H2-402,"马晶"
西方社会学思想史,202020212240122000101,1-17周 星期三 第13-14节 致理楼L3-304,"李岩"
会计学原理,202020212040144000104,1-17周 星期五 第3-4节 汇文楼H1-402,"杨云"
会计学原理,202020212040144000105,1-17周 星期四 第3-4节 汇文楼H3-401,"杨云"
最优化方法,202020212150332000101,1-17周 星期四 第1-2节 致理楼L1-502,"刘嘉祥"
市场营销导论,202020212040811000101,1-17周 星期二 第3-4节 汇文楼H3-401,"刘雁妮"
市场营销导论,202020212040811000102,1-17周 星期一 第3-4节 汇文楼H5-101,"贾芳"
市场营销导论,202020212040811000103,1-17周 星期四 第7-8节 汇文楼H3-302,"张蕾"
欧盟法,202020212030096000101,1-17周 星期一 第1-2节 汇文楼H1-201,"张英"
数字图像处理,202020212150076000101,1-17周 星期二 第7-8节 致理楼L1-602,1-18周(单) 星期二 第9-10节 南区计算机大楼418,"吴惠思"
新闻编辑,202020212080191000101,1-17周 星期一 第2-2节 传播学院L7-301,1-17周 星期一 第3-4节 传播学院L7-301,"张田田"
新闻编辑,202020212080191000102,1-17周 星期一 第6-6节 传播学院L7-301,1-17周 星期一 第7-8节 传播学院L7-301,"张田田"
激光应用,202020212160067000101,1-17周 星期三 第1-2节 致理楼L3-308,"杜戈果,阮存军"
网络伦理与网络文化,202020212030143000101,1-17周 星期一 第13-14节 致理楼L3-304,"马云驰"
盆景与插花艺术,202020212100245000101,1-5周 星期一 7-10节 建筑楼C201,"陈义勇"
公共事业管理,202020212040088000101,1-17周 星期三 第3-4节 汇文楼H1-501,"王燕华"
公共事业管理,202020212040088000102,1-17周 星期三 第7-8节 汇文楼H3-301,"王燕华"
操作系统(荣誉),2020202121500110002R01,8-16周 星期三 第11-12节 致理楼L3-815,"梁正平"
运筹学,202020212190241000102,1-17周 星期五 第3-5节 汇紫楼C509,"李工农"
运筹学,202020212190241000103,1-17周 星期三 第3-5节 汇紫楼B209,"李工农"
土木工程材料,202020212090210000101,1-17周 星期三 1-2节 致理楼L1-401,1-18周(单) 星期三 3-4节 ,"刘伟,董必钦"
土木工程材料,202020212090210000102,1-17周 星期一 7-8节 致理楼L2-411,1-18周(单) 星期一 9-10节 ,"孙红芳,丁铸"
城市公共艺术设计,202020212100007000101,1-17周 星期三 第7-8节 汇紫楼B207,"钱珂"
新产品开发,202020212040336000101,1-17周 星期一 第3-4节 汇文楼H3-504,"张蕾"
概率论精讲,202020212190199003401,1-17周 星期四 第3-4节 汇紫楼A205,"何海金"
高尔夫规则与裁判法,202020212060089000201,1-17周 星期二 第6-8节 汇文楼H1-202,"龙小文"
中西文化比较,202020212010473000101,1-17周 星期一 第11-12节 汇文楼H1-201,"臧勇"
文学评论与写作,202020212010485000101,1-17周 星期四 第11-12节 汇紫楼A309,"金文野"
高尔夫经营战略管理,202020212060061000201,1-17周 星期三 第7-8节 汇文楼H1-204,"王军"
交通工程系统分析,202020212090155000101,1-17周 星期一 第3-5节 致理楼L2-411,"吕慎"
企业信息战略管理,202020212040808000101,1-18周 星期二 第9-10节 汇文楼H1-404,"周天薇"
财务管理,202020212040021000101,1-17周 星期二 第3-5节 汇文楼H1-305,"林梅"
财务管理,202020212040021000102,1-17周 星期四 第3-5节 汇文楼H1-103,"林梅"
贝叶斯统计,202020212190328000101,1-17周 星期二 第3-5节 汇紫楼C414,"周彦"
中国园林史,202020212100475000101,1-17周 星期五 9-10节 汇紫楼A207,"王庆"
以竞争经济学来学反垄断法,2020202120311000201,1-17周 星期一 第9-10节 汇文楼H-04,"曾晶"
